,VPED,VSDX,VSDY,VTM01_SW1,VTM01_SW2,VTM01_WW,VTM02,VTM10,VTPK,VMDR_SW1,VCMX,VHM0,VHM0_SW1,VHM0_SW2,VHM0_WW,VMDR,VMDR_SW2,VMDR_WW,VMXL,TLA,TAUX,TAUY,delta_theta_SW,swell_energy_ratio,delta_theta_SW1_WW,stokes_drift_mag,inv_stokes_drift,spectral_sharpness,log_TLA,TLA_x_swell_ratio,TLA_x_delta_theta,TAU_mag,sin_TAU,cos_TAU,sin_VSD,cos_VSD,deptho
VPED,1.0,0.036172800390836694,-0.09274356335519272,0.09521725026610897,-0.1133144935737368,0.13177039900318913,0.06496478166069027,-0.020423115558553504,0.0005495160648811594,0.17331899533765394,0.006988095350368346,0.05090567529494637,-0.018564652909762423,-0.08779999700214483,0.07409823683907368,0.0639511996792476,-0.09939840888271816,0.05301649703072892,-0.0070245293772401175,-0.1396183724707631,-0.02212978910516858,0.00838424168692821,0.16685676305149846,0.08967587256175547,0.1424081615350947,0.2005443785731037,-0.0787004719798363,0.10200175895489866,0.06442226439811878,-0.0975763869456421,-0.05839870512604391,0.055474465708152884,-0.14495920598726955,-0.1189126302067337,0.016284247243139857,0.11550479493335186,0.013104437257448533
VSDX,0.036172800390836694,1.0,-0.07348323317209372,0.11220725590442926,-0.15523157699661452,0.05019113065021369,-0.17928604242422583,-0.04182490593873304,0.06760184435256499,-0.10337888348446905,-0.07134618504624292,0.039967233229446154,-0.07276836931283273,0.098304770351658,-0.05090586262250736,-0.01890225004614614,-0.14883543865865156,-0.08188392778186801,-0.0703520519544877,-0.023974378929094403,-0.025246660647614397,-0.08298126025586446,-0.059893150411701485,0.036684443284940305,0.11603239329103511,0.009701909535294992,-0.02333473238226153,-0.19554611666199698,0.006031311693359074,0.06544070326948924,0.15194876991401252,-0.03153304372518803,-0.0832360420641019,0.16980521507138155,0.07819905037301239,-0.029153811417311278,0.09057599861950434
VSDY,-0.09274356335519272,-0.07348323317209372,1.0,-0.08958947091491397,0.10170737344518721,0.027964668812861387,0.28740138405664145,0.009483095668235417,0.13535164333958088,-0.13610876576732314,0.19736642031384077,0.005174304774314983,0.034606291218691645,-0.018176282062929237,-0.05026387129401148,-0.01531892116119911,-0.06312396985520587,-0.0382994726828649,-0.06392591581254362,-0.17735430704539873,0.0916910792543441,0.026989124455205207,-0.12390338503029738,0.05561369360345589,0.050602420941675164,-0.07889798977441555,0.014874562054184123,-0.1542655340767824,0.0899329320844669,-0.10187578465226531,-0.04323022584325561,0.02011309659052558,0.1175043994918987,-0.09611015889226886,0.048749648386828784,-0.007409250702689008,-0.0753742835769579
VTM01_SW1,0.09521725026610897,0.11220725590442926,-0.08958947091491397,1.0,-0.04690967145117299,0.04952097699587528,-0.20196741481339212,0.05026777666890874,-0.01884869931907558,0.17360363515899738,-0.18334457085458045,0.09070074147140085,0.00837615524974539,0.09495049134218034,0.14453822239546207,-0.06610014598015695,-0.17516369162958265,-0.029620532896501905,0.02066807271918708,0.12604666360906194,-0.11487368184745192,0.09883187817909908,-0.025873899685673163,0.042616913153233835,-0.14432679979279478,0.07474868332309954,-0.014786623413593113,0.01671291982088873,0.20117951013004134,-0.0975022526500347,0.038408975236353456,0.016980387394947737,-0.03841939868122089,-0.05193639302806611,0.07063004135921873,0.00017430311296013417,-0.17362012062398172
VTM01_SW2,-0.1133144935737368,-0.15523157699661452,0.10170737344518721,-0.04690967145117299,1.0,0.14607758468167412,-0.13494142875953963,-0.11447009871330398,0.13414721822958342,0.00860685017253654,0.0059863043669843175,-0.010245054448059353,0.0421375657499675,0.06197137021058126,-0.027128424737673126,0.0647660424642989,0.054393175396571354,0.03882449821676706,-0.09104165564503265,-0.10343932118873683,0.0028971674283215284,-0.0033085761246200635,0.04416613244896809,-0.23454328794515006,-0.060225550737441645,0.1656578320377243,0.059092685927033504,-0.03798144696720434,0.012707734693053325,0.0008561126540716506,0.1567563779868119,-0.006392356216594155,0.10147329430703608,0.018466796446003464,-0.1400842270265411,0.0655522255841569,-0.12100549350007503
VTM01_WW,0.13177039900318913,0.05019113065021369,0.027964668812861387,0.04952097699587528,0.14607758468167412,1.0,0.11238803623323719,0.0007698881386667778,-0.09720053876545415,-0.10561921556197718,0.10440086038588836,-0.01814070109081731,0.07302079897972766,0.09045414764079326,-0.03306030025372116,-0.04666342651294036,-0.0023023186218423153,0.010528467928343326,-0.06354270103748881,0.05481692664169416,0.09841498364454125,0.1703672043304342,0.006129827223714193,-0.060659456372581425,0.041854195857020306,0.006175370897371089,0.06554848729226127,0.04858781380128837,0.04092674204153072,0.017924819860803964,-0.2117016963222845,0.05612156046298037,-0.008105435650034703,-0.16923310642552616,-0.18015779816859598,0.1117637859392498,-0.004696263556376304
VTM02,0.06496478166069027,-0.17928604242422583,0.28740138405664145,-0.20196741481339212,-0.13494142875953963,0.11238803623323719,1.0,0.06487230827716638,-0.06141325923161489,-0.13252616945291879,0.05283805215907566,-0.07188370531141189,0.21864834529881333,0.10886771621616832,-0.14479211690714733,-0.023506125472726198,-0.018131646398526356,0.10219286740222192,-0.036828085556857376,-0.05586105126704488,0.12251449302710189,0.05557339576055498,-0.03166496708518897,-0.07040853913062792,-0.024872756660374258,-0.06606559097182824,-0.0673510942644789,0.0926606623759877,0.05113692995163767,0.11580301489417975,-0.08345923981412824,0.038300716787927534,-0.06525534066270426,-0.15239947768049977,0.047195083659847356,0.05185221710690514,0.08331168090902229
VTM10,-0.020423115558553504,-0.04182490593873304,0.009483095668235417,0.05026777666890874,-0.11447009871330398,0.0007698881386667778,0.06487230827716638,1.0,-0.08431728253485588,-0.0262071096369586,-0.13353131970140794,-0.028523858599100352,0.016675391795766166,0.06332730101627577,-0.022514553354623764,-0.09765061460681414,-0.14180350000634462,0.06969567976534069,-0.07010975070639358,-0.04661871267467497,0.048676030707132834,-0.08534923487442304,-0.09768432110817236,0.07421566085059438,-0.003511458437597349,-0.11943953093588934,-0.20771720095747834,0.04467141833516238,-0.05678092728733746,-0.09284508589930314,-0.025371919163424773,-0.0378529458410088,0.0858027154031773,-0.07522733689211616,0.02648119783584666,0.030800895650799215,-0.08198708169614707
VTPK,0.0005495160648811594,0.06760184435256499,0.13535164333958088,-0.01884869931907558,0.13414721822958342,-0.09720053876545415,-0.06141325923161489,-0.08431728253485588,1.0,-0.038468995140598046,0.02505097744298149,0.02359629028759561,-0.09687992414162971,-0.1332840591677931,0.050708455095878374,0.011046507519234035,0.022410551407694126,0.02813572018807655,-0.01959435144737301,-0.0970054254970039,-0.03063828830158978,-0.004138524481921118,0.02952471486981823,0.0007041544379207028,-0.08822043291111809,-0.002531572874167385,-0.0446218308779493,-0.1462626981952558,0.02137683753147599,-0.02769916897068633,0.2366336728060243,0.024562543435920153,0.021656279994725417,-0.005334556895482207,-0.013551990402129205,-0.03436867554509924,0.03555278994525058
VMDR_SW1,0.17331899533765394,-0.10337888348446905,-0.13610876576732314,0.17360363515899738,0.00860685017253654,-0.10561921556197718,-0.13252616945291879,-0.0262071096369586,-0.038468995140598046,1.0,-0.14080433946668178,-0.09327457937372677,0.042411071967198746,0.003954337183028902,0.04746948460496621,0.06504136158257742,0.06780692984159786,0.049074593004493385,0.0200166200447647,-0.004285814941619621,0.02050788515802146,0.11296844941671047,0.09706212871279199,0.13056827637515472,-0.07009196040355913,0.0718537149044916,0.03125488259760788,-0.0226390963109513,-0.05182034820264307,-0.024482831097863922,-0.007309904177127552,-0.018563108451524108,-0.12613032625774498,-0.023273767289777775,0.023236141235295733,-0.049856234649432174,-0.13560682806254748
