time,airTemperature,pressure,cloudCover,currentDirection,currentSpeed,dewPointTemperature,gust,humidity,iceCover,precipitation,rain,snow,graupel,seaLevel,snowAlbedo,snowDepth,seaIceThickness,swellDirection,swellHeight,swellPeriod,secondarySwellDirection,secondarySwellHeight,secondarySwellPeriod,waterTemperature,waveDirection,waveHeight,wavePeriod,windWaveDirection,windWaveHeight,windWavePeriod,windDirection,windSpeed
2017-01-01T00:00:00+00:00,11.94,1029.06,32.0,,,,5.3,49.5,0.0,0.0,,,,,,,,,,,,,,14.75,294.84,0.89,11.97,,,,133.53,4.68
2017-01-01T01:00:00+00:00,11.75,1028.58,31.83,,,,5.4,48.5,0.0,0.0,,,,,,,,,,,,,,14.75,294.18,0.91,11.9,,,,134.25,4.71
2017-01-01T02:00:00+00:00,11.56,1028.1,31.67,,,,5.5,47.5,0.0,0.0,,,,,,,,,,,,,,14.75,293.51,0.93,11.83,,,,134.96,4.74
2017-01-01T03:00:00+00:00,11.37,1027.62,31.5,,,,5.6,46.5,0.0,0.0,,,,,,,,,,,,,,14.75,292.85,0.95,11.76,,,,135.68,4.77
2017-01-01T04:00:00+00:00,11.21,1027.36,31.33,,,,5.47,47.9,0.0,0.0,,,,,,,,,,,,,,14.72,292.24,0.98,11.67,,,,136.75,4.67
2017-01-01T05:00:00+00:00,11.05,1027.1,31.17,,,,5.33,49.3,0.0,0.0,,,,,,,,,,,,,,14.68,291.62,1.01,11.58,,,,137.83,4.57
2017-01-01T06:00:00+00:00,10.89,1026.84,31.0,,,,5.2,50.7,0.0,0.0,,,,,,,,,,,,,,14.65,291.01,1.04,11.49,,,,138.9,4.47
2017-01-01T07:00:00+00:00,10.82,1026.62,26.67,,,,5.3,52.23,0.0,0.0,,,,,,,,,,,,,,14.68,294.15,1.07,13.1,,,,141.11,4.56
2017-01-01T08:00:00+00:00,10.76,1026.41,22.33,,,,5.4,53.77,0.0,0.0,,,,,,,,,,,,,,14.72,297.29,1.11,14.71,,,,143.33,4.66
2017-01-01T09:00:00+00:00,10.69,1026.19,18.0,,,,5.5,55.3,0.0,0.0,,,,,,,,,,,,,,14.75,300.43,1.14,16.32,,,,145.54,4.75
2017-01-01T10:00:00+00:00,11.32,1025.79,13.67,,,,5.27,56.37,0.0,0.0,,,,,,,,,,,,,,14.82,300.34,1.17,16.01,,,,149.13,4.59
2017-01-01T11:00:00+00:00,11.94,1025.4,9.33,,,,5.03,57.43,0.0,0.0,,,,,,,,,,,,,,14.88,300.26,1.2,15.71,,,,152.73,4.42
